,Date,Heures,Consommation,Fioul,Charbon,Gaz,nucleaire,Eolien,Solaire,Hydraulique,Pompage,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Autres,Gaz - TAC,Gaz - CCG,Gaz - Autres,Hydraulique - Lacs,Hydraulique - STEP turbinage, Stockage batterie,Eolien terrestre,Eolien offshore
France,2022-01-01,00:00,54615,89,14,2961,41560,3184,0,8719,-509,-2589,25,188,-3330,-2033,-3200,5371,0,16,26,621,162,1439,980,0,0,0
France,2022-01-01,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,00:30,54015,99,13,2691,39434,3191,0,10212,-19,-2769,30,188,-3330,-2033,-3200,5284,0,17,86,106,1514,2494,1672,0,0,0
France,2022-01-01,00:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,01:00,52108,99,14,2691,38697,3257,0,9018,-55,-2788,31,177,-3330,-2033,-3200,5246,0,17,89,108,1508,2388,632,0,0,0
France,2022-01-01,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,01:30,52239,99,13,2695,38594,3283,0,9198,-75,-2749,31,177,-3330,-2033,-3200,5234,0,17,89,108,1504,2080,1167,0,0,0
France,2022-01-01,01:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,02:00,51803,99,13,2680,38102,3153,0,9068,-498,-1975,31,160,-3330,-2033,-3200,6953,0,17,90,109,1486,2095,1071,0,0,0
France,2022-01-01,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,02:30,51252,99,13,2694,38060,3139,0,7786,-707,-1007,32,160,-3330,-2033,-3200,6881,0,17,86,109,1500,1604,396,0,0,0
France,2022-01-01,02:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,03:00,49431,99,13,2692,37287,3219,0,7025,-709,-1355,33,766,-3145,-2033,-3179,6773,0,17,88,109,1495,1279,142,0,0,0
France,2022-01-01,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,03:30,48260,99,13,2696,37232,3328,0,6549,-2210,-618,34,766,-3145,-2033,-3179,6773,0,17,88,109,1498,782,155,0,0,0
France,2022-01-01,03:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,04:00,47038,99,13,2696,36270,3390,0,6532,-2552,-588,35,1000,-3145,-2033,-3169,5301,0,17,89,109,1502,757,154,0,0,0
France,2022-01-01,04:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,04:30,46254,99,13,2703,36479,3573,0,6354,-2724,-1414,35,1000,-3145,-2033,-3169,4976,0,17,89,108,1508,711,9,0,0,0
France,2022-01-01,04:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,05:00,45792,99,13,2699,36313,3718,0,6368,-3178,-1415,36,1000,-3145,-2033,-3200,5190,0,17,89,109,1504,713,9,0,0,0
France,2022-01-01,05:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,05:30,46032,99,13,2707,36830,3809,0,6338,-3365,-1556,35,1000,-3145,-2033,-3200,5165,0,17,98,109,1503,706,10,0,0,0
France,2022-01-01,05:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,06:00,45999,99,13,2696,36983,3816,0,6362,-3716,-1415,35,1000,-3145,-2033,-3200,5245,0,17,94,109,1501,701,10,0,0,0
France,2022-01-01,06:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,06:30,46561,99,13,2703,37526,3870,0,6532,-3714,-1626,35,1000,-3145,-2033,-3200,4895,0,17,98,108,1503,798,10,0,0,0
France,2022-01-01,06:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,07:00,46721,99,12,2707,37417,4003,0,6547,-3717,-1494,35,1000,-3006,-2033,-3200,4539,0,17,100,109,1503,811,10,0,0,0
France,2022-01-01,07:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,07:30,47240,99,13,2710,37545,4277,0,6509,-3465,-1598,34,1000,-3006,-2033,-3200,3885,0,17,101,109,1505,794,10,0,0,0
France,2022-01-01,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,08:00,47703,99,13,2714,38499,4575,0,6516,-3059,-2813,33,1000,-2912,-1962,-3165,3832,0,17,101,108,1512,803,10,0,0,0
France,2022-01-01,08:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,08:30,47919,99,12,2712,39463,4868,14,6421,-2998,-3831,33,1000,-2912,-1962,-3165,3182,0,17,101,110,1509,802,10,0,0,0
France,2022-01-01,08:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,09:00,48244,99,12,2711,39599,4971,283,6561,-3227,-3926,32,1000,-2692,-2022,-3194,2481,0,17,101,110,1507,802,10,0,0,0
France,2022-01-01,09:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,09:30,49081,99,12,2698,39944,5199,1026,6620,-3115,-4553,31,1000,-2692,-2022,-3194,2431,0,17,101,110,1495,742,10,0,0,0
France,2022-01-01,09:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,10:00,49676,100,12,2701,39760,5179,1937,6643,-2866,-4950,31,1000,-1816,-2033,-3196,326,0,17,100,110,1496,741,10,0,0,0
France,2022-01-01,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,10:30,50187,101,12,2687,40413,5147,2825,6441,-2805,-5787,30,1000,-1816,-2033,-3196,426,0,17,100,102,1496,561,10,0,0,0
France,2022-01-01,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,11:00,50610,100,13,2766,40197,5056,3697,6505,-2847,-6030,30,1000,-1245,-1965,-3178,-1836,0,17,100,197,1481,617,10,0,0,0
France,2022-01-01,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,11:30,51219,100,12,2681,40857,4798,4370,6642,-2736,-6646,29,1000,-1245,-1965,-3178,-1836,0,17,99,94,1498,738,9,0,0,0
France,2022-01-01,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,12:00,51838,100,12,2760,41028,4481,4833,6716,-2565,-6670,29,720,-2044,-1876,-2675,-1432,0,17,99,197,1475,815,10,0,0,0
France,2022-01-01,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,12:30,52883,100,13,2779,41048,3990,5122,7168,-2135,-6342,29,720,-2044,-1876,-2675,-1332,0,17,103,197,1491,1219,10,0,0,0
France,2022-01-01,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,13:00,53405,100,12,2755,40811,3558,5198,7191,-1607,-5741,28,534,-3007,-1632,-2514,-1516,0,17,101,197,1468,1205,10,0,0,0
France,2022-01-01,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,13:30,51854,100,13,2756,40927,3250,5086,7349,-1608,-7152,28,534,-3007,-1632,-2514,-1616,0,17,100,197,1471,1228,154,0,0,0
France,2022-01-01,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,14:00,50366,100,13,2650,40928,3080,4808,7354,-1444,-8245,28,10,-2689,-2033,-3198,-2585,0,17,100,107,1462,1245,156,0,0,0
France,2022-01-01,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,14:30,49034,100,12,2648,41159,2851,4265,7349,-491,-9987,28,10,-2689,-2033,-3198,-2674,0,17,99,108,1460,1297,172,0,0,0
France,2022-01-01,14:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,15:00,47886,100,13,2631,41155,2565,3601,7309,-265,-10357,28,198,-987,-2033,-3200,-5190,0,17,100,108,1446,1262,194,0,0,0
France,2022-01-01,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,15:30,47304,100,13,2641,41286,2537,2739,7829,-109,-10882,28,198,-987,-2033,-3200,-5226,0,17,101,108,1455,1334,615,0,0,0
France,2022-01-01,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,16:00,46766,100,13,2665,41268,2777,1814,7873,-110,-10768,29,214,-1283,-2033,-3200,-4585,0,17,102,107,1479,1401,575,0,0,0
France,2022-01-01,16:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,16:30,46826,100,12,2675,41365,3076,962,8373,-75,-10797,29,214,-1283,-2033,-3200,-4585,0,17,102,108,1485,1524,958,0,0,0
France,2022-01-01,16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,17:00,47356,100,12,2686,41481,3577,294,8993,-29,-10875,28,-257,-1518,-2033,-3199,-2720,0,17,102,108,1495,1730,1268,0,0,0
France,2022-01-01,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,17:30,49740,100,12,2677,41826,4118,22,9787,-21,-9907,28,-257,-1518,-2033,-3199,-2764,0,17,103,108,1483,1865,1783,0,0,0
France,2022-01-01,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,18:00,52107,100,12,2680,42157,4607,4,10718,-21,-9272,27,-526,-2913,-2033,-2753,-647,0,17,102,108,1486,2298,2149,0,0,0
France,2022-01-01,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,18:30,53640,100,13,2644,42249,5006,2,11025,-61,-8468,26,-526,-2913,-2033,-2753,-26,0,17,103,108,1450,2525,2138,0,0,0
France,2022-01-01,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,19:00,54913,100,12,2695,42306,5285,1,11334,-75,-7864,26,95,-3237,-2033,-3196,1488,0,17,103,108,1499,2635,2238,0,0,0
France,2022-01-01,19:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,19:30,55485,99,12,2655,42248,5265,0,10842,-77,-6686,26,95,-3237,-2033,-3196,2343,0,17,104,108,1458,2210,2132,0,0,0
France,2022-01-01,19:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,20:00,55024,100,13,2661,41731,5171,0,10512,-73,-6222,27,-462,-3237,-2033,-3020,1721,0,17,104,105,1465,2494,1489,0,0,0
France,2022-01-01,20:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,20:30,54151,100,12,2697,41549,5244,0,10306,-26,-6864,27,-462,-3237,-2033,-3020,2252,0,17,104,103,1504,2354,1555,0,0,0
France,2022-01-01,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,21:00,53365,100,12,2671,41368,5411,0,9331,-26,-6639,28,-141,-3237,-2033,-3200,1342,0,17,104,102,1476,2188,910,0,0,0
France,2022-01-01,21:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,21:30,52539,100,12,2791,41445,5485,0,9201,-444,-7180,28,-141,-3237,-2033,-3200,1606,0,17,104,200,1499,2003,918,0,0,0
France,2022-01-01,21:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,22:00,51661,100,11,2868,40984,5479,0,8611,-443,-7082,29,-433,-3237,-2033,-3200,1907,0,17,104,270,1504,1793,580,0,0,0
France,2022-01-01,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,22:30,52396,100,12,2896,41169,5272,0,8884,-443,-6631,29,-433,-3237,-2033,-3200,3021,0,17,104,341,1461,1675,970,0,0,0
France,2022-01-01,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,23:00,54428,100,11,2916,41285,5331,0,9203,-443,-5109,29,441,-3237,-2033,-3152,2771,0,17,103,347,1475,1730,1190,0,0,0
France,2022-01-01,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,23:30,53885,100,12,2923,41117,5363,0,8600,-442,-4921,30,441,-3237,-2033,-3152,3573,0,17,103,338,1491,1601,815,0,0,0
France,2022-01-01,23:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,00:00,53707,100,12,2922,40655,5334,0,8280,-435,-4294,30,970,-3191,-2033,-3153,3039,0,17,104,328,1502,1432,716,0,0,0
France,2022-01-02,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,00:30,52442,100,11,2933,40041,5316,0,7431,-470,-4048,31,970,-3191,-2033,-3153,3148,0,17,103,338,1503,1073,275,0,0,0
France,2022-01-02,00:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,01:00,50317,100,12,2913,38548,5500,0,7083,-806,-4172,32,187,-3191,-2033,-3131,4667,0,17,104,325,1498,987,23,0,0,0
France,2022-01-02,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,01:30,50287,100,11,2932,38951,5522,0,6847,-1935,-3258,33,187,-3191,-2033,-3131,4967,0,17,104,338,1501,746,11,0,0,0
France,2022-01-02,01:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,02:00,49819,102,11,2934,38964,5628,0,6958,-2501,-3400,33,820,-3191,-2033,-3044,3902,0,20,105,336,1503,719,198,0,0,0
France,2022-01-02,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,02:30,49274,103,9,2940,39193,5835,0,6307,-2930,-3294,33,820,-3191,-2033,-3044,3902,0,20,105,341,1504,419,10,0,0,0
France,2022-01-02,02:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,03:00,47532,103,8,2933,37972,5995,0,6250,-3113,-3730,34,534,-3098,-2033,-2700,3881,0,20,104,334,1504,481,10,0,0,0
France,2022-01-02,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,03:30,46492,103,9,2930,36584,6234,0,6170,-3157,-3487,35,534,-3098,-2033,-2700,3881,0,20,104,335,1500,431,10,0,0,0
France,2022-01-02,03:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,04:00,45533,103,11,2911,36005,6424,0,6109,-3446,-3690,35,677,-3098,-2033,-2982,3237,0,20,104,317,1500,432,10,0,0,0
France,2022-01-02,04:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,04:30,45230,103,11,2909,36068,6891,0,6060,-3505,-4411,35,677,-3098,-2033,-2982,3037,0,20,105,316,1498,459,9,0,0,0
France,2022-01-02,04:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,05:00,44929,103,10,2911,36161,7103,0,6055,-3734,-4790,35,866,-3098,-2033,-3063,2827,0,20,104,315,1501,471,10,0,0,0
France,2022-01-02,05:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,05:30,45418,103,9,2903,36162,7568,0,6064,-3733,-4754,34,866,-3098,-2033,-3063,2677,0,20,104,311,1497,466,10,0,0,0
France,2022-01-02,05:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,06:00,45571,103,9,2912,36210,8239,0,6078,-3725,-5354,34,970,-3098,-2033,-3194,2764,0,20,104,314,1504,474,10,0,0,0
France,2022-01-02,06:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,06:30,46512,103,9,2870,36107,8674,0,6156,-3494,-5020,33,970,-3098,-2033,-3194,2589,0,20,104,309,1468,501,10,0,0,0
France,2022-01-02,06:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,07:00,46889,103,10,2863,36273,9270,0,6163,-3484,-5429,33,625,-3098,-2033,-3200,3770,0,20,104,317,1454,500,10,0,0,0
France,2022-01-02,07:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,07:30,47719,103,11,2883,35951,9570,0,6063,-3499,-4464,33,625,-3098,-2033,-3200,3620,0,16,103,291,1501,481,10,0,0,0
France,2022-01-02,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,08:00,48441,101,10,2689,36286,9789,1,6095,-3501,-4142,31,269,-3283,-2033,-3200,3400,0,14,99,99,1503,487,10,0,0,0
France,2022-01-02,08:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,08:30,49075,101,10,2693,36988,9943,12,6127,-3153,-4753,31,269,-3283,-2033,-3200,3200,0,14,100,100,1511,541,10,0,0,0
France,2022-01-02,08:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,09:00,49761,101,10,2676,37216,10099,119,6235,-2871,-4937,30,786,-3283,-2033,-3200,1093,0,19,95,100,1508,582,10,0,0,0
France,2022-01-02,09:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,09:30,51266,101,11,2681,37790,10230,446,6382,-2396,-5094,29,786,-3283,-2033,-3200,1093,0,19,95,101,1511,651,10,0,0,0
France,2022-01-02,09:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,10:00,52409,101,11,2707,38712,10133,915,6601,-2357,-5534,29,281,-3283,-2033,-3200,1737,0,19,100,102,1511,682,10,0,0,0
France,2022-01-02,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,10:30,53456,101,11,2704,38508,10089,1408,6920,-2070,-5326,28,281,-3283,-2033,-3200,1987,0,19,99,102,1508,991,11,0,0,0
France,2022-01-02,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,11:00,54168,102,10,2696,39120,9962,1946,6737,-2070,-5452,28,-258,-3191,-1965,-3200,1029,0,19,98,102,1500,828,10,0,0,0
France,2022-01-02,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,11:30,54815,101,10,2701,39856,9811,2335,7724,-1906,-6933,27,-258,-3191,-1965,-3200,1164,0,19,98,104,1507,875,806,0,0,0
France,2022-01-02,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,12:00,56037,101,9,2700,40328,10010,2592,7735,-1839,-6717,26,-2,-3191,-1887,-3091,2193,0,19,102,104,1506,807,893,0,0,0
France,2022-01-02,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,12:30,57672,101,10,2693,40397,10181,2854,7778,-2050,-5414,26,-2,-3191,-1887,-3091,2423,0,19,102,103,1504,769,972,0,0,0
France,2022-01-02,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,13:00,58400,102,9,2692,40694,10774,2921,7864,-2038,-5737,26,-783,-3191,-1651,-3097,964,0,20,102,104,1505,769,1048,0,0,0
France,2022-01-02,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,13:30,56380,102,9,2650,40899,11042,3059,6949,-2014,-7425,26,-783,-3191,-1651,-3097,994,0,20,102,104,1461,720,218,0,0,0
France,2022-01-02,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,14:00,54730,102,10,2686,40260,11112,2910,6783,-2598,-7636,26,-984,-3098,-2033,-2827,844,0,20,101,105,1494,711,152,0,0,0
France,2022-01-02,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,14:30,53571,103,9,2682,40471,11054,2693,6488,-3255,-7761,27,-984,-3098,-2033,-2827,844,0,20,101,104,1494,636,10,0,0,0
France,2022-01-02,14:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,15:00,52052,102,9,2680,40423,11014,2198,6390,-3327,-8538,27,-588,-3082,-2033,-3138,-340,0,20,101,103,1495,647,10,0,0,0
France,2022-01-02,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,15:30,51538,103,9,2642,40744,11284,1706,6372,-3078,-9335,27,-588,-3082,-2033,-3138,-340,0,20,101,105,1454,710,11,0,0,0
France,2022-01-02,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,16:00,50977,103,10,2664,40505,11791,1143,6363,-2906,-9790,27,-109,-3098,-2939,-3200,-841,0,20,109,106,1473,720,11,0,0,0
France,2022-01-02,16:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,16:30,51143,103,10,2625,40971,12266,577,6822,-2827,-10504,26,-109,-3098,-2939,-3200,-852,0,20,109,106,1432,838,372,0,0,0
France,2022-01-02,16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,17:00,51680,103,10,2644,41217,12737,185,6932,-2522,-10733,26,-187,-3098,-2561,-3160,-1873,0,20,109,105,1448,866,383,0,0,0
France,2022-01-02,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,17:30,53734,103,11,2682,41549,13128,12,7180,-373,-11656,25,-187,-3098,-2561,-3160,-1873,0,20,109,105,1484,1030,421,0,0,0
France,2022-01-02,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,18:00,56244,103,10,2672,42052,13317,3,7676,-86,-10595,24,-827,-3000,-2457,-3199,-480,0,20,109,108,1467,1060,693,0,0,0
France,2022-01-02,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,18:30,58039,103,9,2652,42738,13501,1,7981,-113,-9935,24,-827,-3000,-2457,-3199,-480,0,20,109,108,1452,1127,802,0,0,0
France,2022-01-02,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,19:00,59582,103,9,2658,43275,13600,0,8788,-50,-9894,23,-928,-2950,-2435,-3143,545,0,20,109,107,1456,1301,1339,0,0,0
France,2022-01-02,19:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,19:30,59697,103,10,2693,42750,13595,0,8564,-55,-9044,24,-928,-2950,-2435,-3143,545,0,20,110,107,1492,1271,1158,0,0,0
France,2022-01-02,19:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,20:00,58841,103,10,2696,42529,13584,0,8377,-422,-9127,24,-537,-2900,-2434,-3200,1702,0,20,109,107,1494,1373,860,0,0,0
France,2022-01-02,20:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,20:30,57575,104,10,2712,42142,13643,0,7093,-1159,-8057,25,-537,-2900,-2434,-3200,1702,0,20,110,105,1512,923,294,0,0,0
France,2022-01-02,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,21:00,56533,104,10,2711,41219,13508,0,6818,-1633,-7289,26,-112,-2900,-2614,-3194,2073,0,20,110,105,1510,921,54,0,0,0
France,2022-01-02,21:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,21:30,55432,104,9,2618,41083,13351,0,6510,-2599,-6731,26,-112,-2900,-2614,-3194,2073,0,20,110,107,1423,831,11,0,0,0
France,2022-01-02,21:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,22:00,54111,104,9,2639,40527,13087,0,6493,-3020,-6824,27,266,-2900,-2995,-3200,3864,0,20,110,107,1438,794,10,0,0,0
France,2022-01-02,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,22:30,54364,104,10,2698,40203,12579,0,6767,-3014,-6096,27,266,-2900,-2995,-3200,3919,0,20,110,106,1498,776,10,0,0,0
France,2022-01-02,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,23:00,56077,103,10,2671,40489,12324,0,6706,-3251,-4097,27,999,-2900,-2649,-3194,4814,0,20,110,105,1471,712,10,0,0,0
France,2022-01-02,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-02,23:30,55530,103,10,2696,39655,12117,0,6432,-3429,-3174,28,999,-2900,-2649,-3194,4814,0,20,110,105,1497,636,10,0,0,0
France,2022-01-02,23:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,00:00,55297,104,9,2688,39426,11732,0,6420,-3438,-2754,29,1000,-2960,-2358,-3200,3968,0,20,110,103,1499,637,10,0,0,0
France,2022-01-03,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,00:30,53695,104,4,2678,38277,11414,0,6598,-2322,-4173,29,1000,-2960,-2358,-3200,3968,0,20,110,104,1491,724,10,0,0,0
France,2022-01-03,00:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,01:00,51654,104,5,2706,36613,11202,0,6562,-2271,-4396,30,920,-2960,-1965,-3114,1822,0,20,110,103,1511,669,10,0,0,0
France,2022-01-03,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,01:30,51501,104,8,2708,36450,10956,0,6560,-1094,-5326,29,920,-2960,-1965,-3114,2222,0,20,109,104,1514,649,9,0,0,0
France,2022-01-03,01:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,02:00,51092,103,7,2711,35848,10784,0,6436,-925,-5004,30,924,-2960,-1847,-3200,944,0,20,110,104,1515,600,10,0,0,0
France,2022-01-03,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,02:30,50604,103,6,2704,35838,10505,0,6342,-937,-5081,30,924,-2960,-1847,-3200,1094,0,20,110,103,1511,601,10,0,0,0
France,2022-01-03,02:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,03:00,48979,103,10,2709,35303,10130,0,6280,-942,-5740,31,975,-2960,-1887,-3200,1163,0,20,109,103,1517,604,9,0,0,0
France,2022-01-03,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,03:30,48200,104,9,2706,35262,10060,0,6058,-1338,-5781,31,975,-2960,-1887,-3200,1163,0,20,110,103,1513,488,10,0,0,0
France,2022-01-03,03:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,04:00,47332,103,8,2666,35376,9815,0,5947,-1766,-5934,31,1000,-3073,-1965,-3181,2448,0,20,109,103,1474,489,10,0,0,0
France,2022-01-03,04:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,04:30,47494,103,8,2651,35089,9837,0,5880,-2245,-4939,31,1000,-3073,-1965,-3181,2273,0,20,110,103,1461,489,10,0,0,0
France,2022-01-03,04:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,05:00,47667,103,9,2660,35571,9755,0,5932,-2187,-5287,31,997,-3000,-2525,-3200,4716,0,20,109,101,1473,486,10,0,0,0
France,2022-01-03,05:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,05:30,49685,103,10,2716,35808,9741,0,5942,-1836,-3895,31,997,-3000,-2525,-3200,4166,0,20,110,151,1479,469,10,0,0,0
France,2022-01-03,05:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,06:00,51306,103,9,2789,36204,9577,0,6083,-496,-4059,30,1000,-3000,-2995,-3200,5797,0,20,110,229,1474,592,10,0,0,0
France,2022-01-03,06:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,06:30,55038,103,8,2844,37287,9564,0,6436,-50,-2246,30,1000,-3000,-2995,-3200,5247,0,20,110,283,1475,591,158,0,0,0
France,2022-01-03,06:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,07:00,57960,103,9,3042,40124,9376,0,7220,-50,-2946,29,1000,-3400,-3150,-3200,6632,0,20,110,437,1501,779,708,0,0,0
France,2022-01-03,07:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,07:30,60906,103,8,3227,42252,9395,1,7617,-49,-2727,29,1000,-3400,-3150,-3200,6516,0,20,110,602,1496,920,1010,0,0,0
France,2022-01-03,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-03,08:00,62918,105,9,3278,43496,9258,1,8667,-49,-2922,28,1000,-3600,-3150,-3200,6076,0,20,111,644,1476,1288,1646,0,0,0
